Region,Year,Avg Precipitation,Avg Max Temp
north-west,2005,1242.1,26.8
north-west,2006,1332.85,28.775
north-west,2007,1257.575,24.975
north-west,2008,1423.2333333333333,24.066666666666666
north-west,2009,1323.7333333333333,25.53333333333333
north-west,2010,1099.1750000000002,24.15
north-west,2011,1377.3999999999999,21.3
north-west,2012,1198.5,25.97
north-west,2013,1109.775,28.28
north-west,2014,1262.142857142857,25.357142857142858
north-west,2015,1457.45,22.49
north-west,2016,1161.9625,27.17
north-west,2017,1180.4857142857143,24.785714285714285
north-west,2018,1213.25,29.32875
north-west,2019,1316.5166666666667,24.383333333333336
north-west,2020,1431.2571428571428,25.555714285714284
north-west,2021,1175.3714285714286,28.824285714285715
north-west,2022,1211.55,27.87875
north-west,2023,1327.8999999999999,26.62
south-central,2010,700.7,25.08
south-central,2011,907.7,23.73
south-central,2012,1017.1,25.41
south-central,2013,786.5,28.81
south-central,2014,971.6,26.99
south-central,2015,1036.1,23.06
south-central,2016,806.1,27.44
south-central,2017,939.8,25.2
south-central,2018,807.5,30.1
south-central,2019,957.9,24.18
south-central,2021,748.4,29.07
south-central,2022,914.1,31.0
south-central,2023,1038.7,26.88
south-east,1941,958.3,
south-east,1942,1007.8,
south-east,1943,1035.2,
south-east,1944,1003.8,
south-east,1945,923.1,
south-east,1946,1155.3,
south-east,1947,1275.4,
south-east,1948,1212.0,
south-east,1949,708.3,
south-east,1950,1002.0,
south-east,1951,1111.1,
south-east,1952,858.0,
south-east,1953,816.0,
south-east,1954,1056.7,
south-east,1955,824.8,28.9
south-east,1956,856.6,24.1
south-east,1957,960.7666666666665,25.450000000000003
south-east,1958,1096.925,24.3
south-east,1959,811.65,25.2
south-east,1960,1129.825,24.46666666666667
south-east,1961,860.625,23.475
south-east,1962,779.8666666666667,22.766666666666666
south-east,1963,858.625,23.733333333333334
south-east,1964,799.825,23.125
south-east,1965,945.725,22.0
south-east,1966,1050.7,23.266666666666666
south-east,1967,851.7,23.366666666666664
south-east,1968,866.32,24.125
south-east,1969,680.22,25.633333333333336
south-east,1970,790.52,25.32
south-east,1971,649.9200000000001,24.66
south-east,1972,864.86,24.84
south-east,1973,771.0600000000001,26.360000000000003
south-east,1974,883.78,23.28
south-east,1975,645.24,27.98
south-east,1976,729.8399999999999,28.4
south-east,1977,946.6200000000001,25.939999999999998
south-east,1978,757.6600000000001,23.2
south-east,1979,868.9200000000001,23.8
south-east,1980,935.4200000000001,22.84
south-east,1981,869.3,24.8
south-east,1982,945.22,24.839999999999996
south-east,1983,869.1200000000001,29.76
south-east,1984,787.42,25.560000000000002
south-east,1985,839.4799999999999,23.580000000000002
south-east,1986,882.5200000000001,25.3
south-east,1987,777.8199999999999,24.86
south-east,1988,851.3799999999999,23.9
south-east,1989,767.58,28.060000000000002
south-east,1990,822.0799999999999,27.380000000000003
south-east,1991,788.7,24.94
south-east,1992,739.62,24.240000000000002
south-east,1993,939.6,23.95
south-east,1994,989.04,22.740000000000002
south-east,1995,802.48,28.78
south-east,1996,926.9200000000001,24.8
south-east,1997,984.2,24.85
south-east,1998,999.15,24.05
south-east,1999,799.3,25.549999999999997
south-east,2000,968.25,24.9
south-east,2001,795.65,25.25
south-east,2002,1162.4,23.849999999999998
south-east,2003,776.125,27.0
south-east,2004,815.725,26.125
south-east,2005,822.825,25.975
south-east,2006,931.325,27.575
south-east,2007,835.775,24.1
south-east,2008,987.7,25.0
south-east,2009,1238.15,25.375
south-east,2010,840.5,24.605
south-east,2011,710.7,25.45
south-east,2012,796.2,25.56
south-east,2013,793.35,27.17
south-east,2014,1091.05,25.479999999999997
south-east,2015,965.3,23.049999999999997
south-east,2016,841.95,25.15
south-east,2017,820.05,24.784999999999997
south-east,2018,951.8499999999999,27.365000000000002
south-east,2019,1020.0,22.45
south-east,2020,993.4499999999999,24.43
south-east,2021,892.8,26.57
south-east,2022,893.7,28.5
south-east,2023,1081.4,27.189999999999998
south-west,1941,980.6666666666666,23.7
south-west,1942,930.7000000000002,27.2
south-west,1943,1058.0666666666666,25.7
south-west,1944,1070.8,26.1
south-west,1945,1073.1333333333334,24.4
south-west,1946,1199.0666666666666,22.6
south-west,1947,1241.0333333333333,28.4
south-west,1948,1231.8999999999999,28.700000000000003
south-west,1949,975.4666666666667,27.0
south-west,1950,1181.7666666666667,26.450000000000003
south-west,1951,1229.0333333333333,24.35
south-west,1952,835.9333333333334,24.65
south-west,1953,928.1,26.1
south-west,1954,1166.3666666666666,21.299999999999997
south-west,1955,893.7333333333332,29.15
south-west,1956,1033.2333333333333,24.0
south-west,1957,1051.5666666666666,26.2
south-west,1958,1225.1333333333334,23.0
south-west,1959,1078.3999999999999,25.733333333333334
south-west,1960,1176.85,23.200000000000003
south-west,1961,1016.0999999999999,23.03333333333333
south-west,1962,937.9200000000001,22.360000000000003
south-west,1963,1056.0,23.95
south-west,1964,1107.5,22.425
south-west,1965,1121.2,23.0
south-west,1966,1213.3,23.9
south-west,1967,971.6200000000001,22.975
south-west,1968,1103.52,24.05
south-west,1969,883.22,25.825
south-west,1970,971.32,24.68
south-west,1971,819.0600000000001,24.740000000000002
south-west,1972,1062.6,25.56
south-west,1973,989.3799999999999,26.04
south-west,1974,1139.74,23.1
south-west,1975,865.5,26.060000000000002
south-west,1976,1023.82,28.860000000000003
south-west,1977,1159.8799999999999,25.44
south-west,1978,1107.4599999999998,23.68
south-west,1979,1142.18,22.95
south-west,1980,1080.075,23.2
south-west,1981,1070.94,24.580000000000002
south-west,1982,1220.575,24.65
south-west,1983,1081.56,28.339999999999996
south-west,1984,1039.1399999999999,25.78
south-west,1985,1126.22,22.94
south-west,1986,1159.1,24.4
south-west,1987,1018.1599999999999,23.3
south-west,1988,1213.1,24.220000000000002
south-west,1989,1014.3399999999999,28.639999999999997
south-west,1990,999.3799999999999,25.82
south-west,1991,988.8399999999999,26.633333333333336
south-west,1992,1022.05,23.75
south-west,1993,1181.05,22.65
south-west,1994,1221.5666666666666,22.766666666666666
south-west,1995,1197.125,28.75
south-west,1996,1173.3799999999999,25.475
south-west,1997,1106.92,25.14
south-west,1998,1141.375,24.766666666666666
south-west,1999,988.4499999999999,25.633333333333336
south-west,2000,1000.8,25.233333333333334
south-west,2001,955.65,24.55
south-west,2002,1240.1333333333332,24.0
south-west,2003,997.7,26.975
south-west,2004,1077.725,25.0
south-west,2005,1129.375,27.2
south-west,2006,1058.0333333333333,28.099999999999998
south-west,2007,1031.525,24.0
south-west,2008,1178.98,24.225
south-west,2009,1279.3,24.8775
south-west,2010,944.125,23.65
south-west,2011,900.9666666666667,22.19333333333333
south-west,2012,1141.675,24.32
south-west,2013,1122.48,27.482
south-west,2014,1162.225,25.64
south-west,2015,1255.075,21.9225
south-west,2016,1105.4,24.869999999999997
south-west,2017,1132.98,25.104
south-west,2018,1080.875,28.9125
south-west,2019,1107.65,25.105
south-west,2020,1183.275,24.51
south-west,2021,1128.1,27.46
south-west,2022,1137.02,28.454
south-west,2023,1264.325,25.185
