year,annual,Station
1931,32.3,LOCID000045
1932,35.8,LOCID000045
1933,35.2,LOCID000045
1934,33.5,LOCID000045
1935,35.5,LOCID000045
1936,34.3,LOCID000045
1937,33.6,LOCID000045
1938,33.6,LOCID000045
1939,32.6,LOCID000045
1940,29.9,LOCID000045
1941,33.4,LOCID000045
1942,33,LOCID000045
1943,38.5,LOCID000045
1944,34.5,LOCID000045
1945,-99.9,LOCID000045
1946,35.3,LOCID000045
1947,38,LOCID000045
1948,33.2,LOCID000045
1949,35.5,LOCID000045
1950,34.1,LOCID000045
1951,32.9,LOCID000045
1952,37.5,LOCID000045
1953,32.8,LOCID000045
1954,33.2,LOCID000045
1955,31.6,LOCID000045
1956,29.9,LOCID000045
1957,37.2,LOCID000045
1958,33.2,LOCID000045
1959,37.3,LOCID000045
1960,32.5,LOCID000045
1961,34.2,LOCID000045
1962,31.7,LOCID000045
1963,35.2,LOCID000045
1964,35.8,LOCID000045
1965,32.4,LOCID000045
1966,35.9,LOCID000045
1967,34.4,LOCID000045
1968,32.5,LOCID000045
1969,33.9,LOCID000045
1970,33.7,LOCID000045
1971,36.8,LOCID000045
1972,33.1,LOCID000045
1973,33.5,LOCID000045
1974,35.9,LOCID000045
1975,33.2,LOCID000045
1976,35.4,LOCID000045
1977,31.4,LOCID000045
1978,31.3,LOCID000045
1979,33,LOCID000045
1980,33.5,LOCID000045
1981,32.2,LOCID000045
1982,34.8,LOCID000045
1983,35,LOCID000045
1984,37.7,LOCID000045
1985,34.5,LOCID000045
1986,35.1,LOCID000045
1987,33.5,LOCID000045
1988,33.5,LOCID000045
1989,36,LOCID000045
1990,35.6,LOCID000045
1991,36.2,LOCID000045
1992,37.9,LOCID000045
1993,31.8,LOCID000045
1994,35.9,LOCID000045
1995,35.2,LOCID000045
1996,33.6,LOCID000045
1997,-99.9,LOCID000045
1998,36.4,LOCID000045
1999,34.1,LOCID000045
2000,35.4,LOCID000045
2001,35.9,LOCID000045
2002,-99.9,LOCID000045
2003,-99.9,LOCID000045
2004,-99.9,LOCID000045
1879,-99.9,LOCID000051
1880,-99.9,LOCID000051
1881,-99.9,LOCID000051
1882,-99.9,LOCID000051
1883,-99.9,LOCID000051
1884,-99.9,LOCID000051
1885,-99.9,LOCID000051
1886,-99.9,LOCID000051
1887,-99.9,LOCID000051
1888,-99.9,LOCID000051
1889,-99.9,LOCID000051
1890,-99.9,LOCID000051
1891,-99.9,LOCID000051
1892,-99.9,LOCID000051
1893,-99.9,LOCID000051
1894,-99.9,LOCID000051
1895,-99.9,LOCID000051
1896,-99.9,LOCID000051
1897,-99.9,LOCID000051
1898,-99.9,LOCID000051
1899,-99.9,LOCID000051
1900,-99.9,LOCID000051
1901,-99.9,LOCID000051
1902,-99.9,LOCID000051
1903,-99.9,LOCID000051
1904,-99.9,LOCID000051
1905,-99.9,LOCID000051
1906,-99.9,LOCID000051
1907,-99.9,LOCID000051
1908,-99.9,LOCID000051
1909,-99.9,LOCID000051
1910,-99.9,LOCID000051
1911,-99.9,LOCID000051
1912,-99.9,LOCID000051
1913,-99.9,LOCID000051
1914,-99.9,LOCID000051
1915,-99.9,LOCID000051
1916,-99.9,LOCID000051
1917,-99.9,LOCID000051
1918,-99.9,LOCID000051
1919,-99.9,LOCID000051
1920,-99.9,LOCID000051
1921,-99.9,LOCID000051
1922,-99.9,LOCID000051
1923,-99.9,LOCID000051
1924,-99.9,LOCID000051
1925,-99.9,LOCID000051
1926,-99.9,LOCID000051
1927,-99.9,LOCID000051
1928,-99.9,LOCID000051
1929,-99.9,LOCID000051
1930,-99.9,LOCID000051
1931,-99.9,LOCID000051
1932,-99.9,LOCID000051
1933,-99.9,LOCID000051
1934,-99.9,LOCID000051
1935,-99.9,LOCID000051
1936,-99.9,LOCID000051
1937,-99.9,LOCID000051
1938,-99.9,LOCID000051
1939,-99.9,LOCID000051
1940,-99.9,LOCID000051
1941,-99.9,LOCID000051
1942,-99.9,LOCID000051
1943,-99.9,LOCID000051
1944,-99.9,LOCID000051
1945,-99.9,LOCID000051
1946,-99.9,LOCID000051
1947,-99.9,LOCID000051
1948,-99.9,LOCID000051
1949,-99.9,LOCID000051
1950,-99.9,LOCID000051
1951,-99.9,LOCID000051
1952,-99.9,LOCID000051
1953,-99.9,LOCID000051
